what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1459483814961
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1459483814961
java.specification.name,sysinfo,,,"Java Platform API Specification",1459483814961
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1459483814961
java.specification.version,sysinfo,,,"1.6",1459483814961
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1459483814961
java.version,sysinfo,,,"1.6.0_23",1459483814961
java.vm.info,sysinfo,,,"mixed mode",1459483814961
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1459483814961
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1459483814961
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1459483814961
java.vm.specification.version,sysinfo,,,"1.0",1459483814961
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1459483814961
java.vm.version,sysinfo,,,"19.0-b09",1459483814961
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1459483815279
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1459483817789
started,bundle,com.altera.sbtgui.core,12.1.1.243,"com.altera.sbtgui.core",1459483817963
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1459483817993
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1459483820433
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459483820859
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459483820955
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1459483824725
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1459483824731
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1459483824732
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1459483824733
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459483824794
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459483825123
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1459483827945
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1459483827948
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459483832333
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459483836330
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459483838875
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459483842248
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459483844025
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1459483845289
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459483845866
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459483845915
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459483846808
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1459483848005
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1459483853276
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1459483856296
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1459483856370
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1459483856422
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1459483857648
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1459483857685
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1459483857732
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1459483865261
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1459483887585
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1459483893920
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1459483902737
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1459483905108
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1459483905741
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1459483906530
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1459483914594
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1459483915395
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459483916848
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459483918332
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459483918411
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459483919165
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1459483924627
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1459483926086
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459483929805
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459483933028
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1459483935772
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459483940782
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1459483941818
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1459483941830
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459483941832
opened,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1459483942634
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1459483942797
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1459483942808
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1459483946670
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459483972792
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459483975615
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1459483995714
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1459484013966
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1459484046937
