what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1459517457807
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1459517480153
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1459517494813
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459517496428
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459517496805
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1459517504573
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459517508434
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459517509605
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1459517515468
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1459517521912
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1459517526804
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459517528595
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459517529920
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1459517531508
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1459517532649
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1459517533477
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459517534880
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459517536019
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1459517543237
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1459517544330
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1459517544527
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1459517547362
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1459517549882
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459517552735
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459517557279
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1459517563155
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1459517565371
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1459517570098
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1459517572070
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459517573614
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459517574672
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1459517577062
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1459517577064
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459517578346
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1459517580088
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1459517580095
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459517580097
opened,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1459517581554
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1459517581723
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1459517581734
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1459517585709
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1459517601683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459517603976
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1459517604672
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459517604679
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1459517605587
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1459517606063
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1459517609181
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459517615003
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459517615544
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1459517638941
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1459517642691
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1459517643558
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459517645597
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459517646749
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459517649029
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1459517649755
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459517649762
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1459517650658
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1459517651135
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1459517654263
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1459517661071
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1459517691866
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1459517692766
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459517695275
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1459517696780
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459517696788
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1459517697697
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1459517698191
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1459517701310
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459517727095
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459517760585
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459517766610
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459517767671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459517768257
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459517768795
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459517769233
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459517769560
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459517770264
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459517792401
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459517807305
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459518043067
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459518043547
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459518054499
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459518055168
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459518055684
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459518056402
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459518058634
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459518059195
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459518059953
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459518060778
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459518157770
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459518158283
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459518175280
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1459518180484
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1459518183426
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1459518184226
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459518185757
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459518186863
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459518190590
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1459518191311
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459518191317
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1459518192155
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1459518192632
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1459518196082
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1459518200899
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1459518207473
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1459518222756
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1459518223344
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459518225544
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459518226872
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459518229446
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1459518230203
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459518230215
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1459518231095
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1459518231564
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1459518234730
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1459518253215
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459518268612
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459518285346
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459518288236
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459518446307
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459518450606
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459518459635
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1459518462552
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1459518463480
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459518465235
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459518466396
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459518469067
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1459518469798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459518469805
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1459518470687
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1459518471162
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1459518474318
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1459518493228
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459518495262
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459518498356
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1459518501548
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1459518502296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459518505122
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1459518506659
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459518506664
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1459518507571
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1459518508060
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1459518511212
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1459518515006
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1459518516227
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1459518516648
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1459518517576
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459518520038
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459518551557
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459518553516
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459518569916
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459518572747
