what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459931673600
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459931673934
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1459931674717
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1459931677202
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1459931683429
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1459931686859
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1459931686862
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1459931687252
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1459931689581
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1459931690943
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1459931693502
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459931694934
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459931700054
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459931700390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459931701162
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459931704507
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1459931710475
started,bundle,com.altera.debug.cdi.gdb.plugin,12.1.1.243,"com.altera.debug.cdi.gdb.plugin",1459931722452
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459931722566
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459931722576
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459931722579
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459931722583
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1459931724731
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459931724737
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1459931725789
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1459931725801
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1459931725802
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1459931725811
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1459931727201
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1459931728271
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459931735285
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459931735558
