what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459473791018
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459473792196
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459473794650
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1459473795245
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459473795252
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1459473795982
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1459473796654
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1459473799991
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1459473816822
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1459473872999
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1459473873031
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.open.type.hierarchy",1459473873037
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459473876186
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459473902827
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1459473904936
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1459473926115
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1459473927607
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459473928994
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459473929956
