what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459520457787
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1459520461324
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1459520461793
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1459520461890
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1459520463979
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459520464321
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459520464503
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1459520467507
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1459520467510
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1459520467511
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1459520467511
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459520467557
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459520467970
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459520471334
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459520475306
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1459520478007
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1459520478009
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459520479368
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459520482839
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459520486119
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1459520487229
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459520488308
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459520488364
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459520489186
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459520493167
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1459520499196
started,bundle,com.altera.debug.cdi.gdb.plugin,12.1.1.243,"com.altera.debug.cdi.gdb.plugin",1459520501148
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459520501221
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459520501243
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1459520506975
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459520506984
