what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1459538072463
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1459538072463
java.specification.name,sysinfo,,,"Java Platform API Specification",1459538072463
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1459538072463
java.specification.version,sysinfo,,,"1.6",1459538072463
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1459538072463
java.version,sysinfo,,,"1.6.0_23",1459538072463
java.vm.info,sysinfo,,,"mixed mode",1459538072463
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1459538072463
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1459538072463
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1459538072463
java.vm.specification.version,sysinfo,,,"1.0",1459538072463
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1459538072463
java.vm.version,sysinfo,,,"19.0-b09",1459538072463
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1459538073298
started,bundle,com.altera.sbtgui.core,12.1.1.243,"com.altera.sbtgui.core",1459538073385
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1459538073414
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1459538077276
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459538077309
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1459538077376
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1459538077379
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1459538077380
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1459538077380
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459538081259
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459538085383
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459538088099
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459538089659
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459538091139
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1459538096183
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1459538096186
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459538097242
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1459538098311
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1459538098317
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459538098323
opened,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1459538099099
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1459538099249
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1459538099257
