what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1459519507472
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1459519507472
java.specification.name,sysinfo,,,"Java Platform API Specification",1459519507472
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1459519507472
java.specification.version,sysinfo,,,"1.6",1459519507472
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1459519507472
java.version,sysinfo,,,"1.6.0_23",1459519507472
java.vm.info,sysinfo,,,"mixed mode",1459519507472
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1459519507472
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1459519507472
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1459519507472
java.vm.specification.version,sysinfo,,,"1.0",1459519507472
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1459519507472
java.vm.version,sysinfo,,,"19.0-b09",1459519507472
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1459519507826
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1459519507999
started,bundle,com.altera.sbtgui.core,12.1.1.243,"com.altera.sbtgui.core",1459519509243
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1459519509281
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1459519513740
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1459519513744
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1459519513745
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1459519513745
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1459519513791
