0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7,600
237,303
252,285
234,299
233,305
241,307
241,311
216,316
173,319
144,318
125,318
95,310
82,320
60,324
81,327
92,320
107,317
135,282
152,238
139,213
123,217
116,216
119,219
112,219
113,219
113,221
118,237
144,339
146,451
170,495
174,515
175,515
171,508
175,510
176,510
176,511
177,511
177,515
133,502
91,497
95,498
90,497
87,497
87,497
88,497
129,492
303,487
306,480
299,485
293,480
289,483
283,483
282,483
271,466
253,432
249,379
264,280
251,180
244,128
215,105
200,97
193,95
190,102
185,102
191,92
197,93
181,102
166,106
98,141
6,65
5,65
6,65
6,65
140,58
141,58
139,58
5,65
140,58
5,66
138,58
6,65
6,65
5,65
5,65
6,65
6,65
