0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
60,256
82,221
88,206
90,189
94,162
97,150
96,146
97,136
102,123
106,112
98,81
94,76
94,77
92,71
90,68
86,65
84,65
86,66
84,65
82,66
82,64
74,76
55,91
41,112
21,207
22,214
22,220
22,232
26,250
38,273
45,280
50,283
55,283
55,281
53,280
53,279
54,279
52,278
54,278
55,276
61,273
73,264
87,240
95,216
110,195
123,161
120,79
119,71
120,62
120,58
116,57
114,59
107,56
109,63
69,76
59,76
50,78
24,89
0,0
0,0
0,0
0,199
0,200
63,203
85,201
88,201
93,202
94,201
99,202
99,202
93,200
94,200
96,200
91,200
89,200
87,199
87,199
89,200
81,180
84,179
82,177
84,174
88,159
87,100
89,100
88,98
89,97
87,96
85,96
85,96
85,92
82,94
83,95
83,92
96,94
99,98
110,101
23,98
19,98
14,103
24,105
34,107
34,107
32,107
41,108
48,109
47,109
47,109
50,109
50,106
48,109
49,108
47,108
68,108
98,114
103,115
111,120
109,121
92,120
46,119
42,119
34,119
36,118
36,120
35,120
36,119
37,120
39,116
38,121
41,121
40,120
45,119
56,118
94,122
113,126
119,128
120,128
121,128
101,126
95,125
73,123
44,122
40,118
39,121
40,118
38,122
37,122
36,123
38,123
38,122
38,123
39,132
39,135
44,151
44,181
45,233
44,237
44,238
44,238
43,237
38,235
37,234
40,236
52,234
98,184
115,155
117,153
121,140
116,125
113,123
109,123
105,118
102,124
101,124
103,126
102,126
101,128
99,130
99,130
96,128
102,130
98,130
95,134
96,136
93,134
86,147
86,150
66,202
33,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
